STNAM,FIPST,LEAID,ST_LEAID,LEANM,NCESSCH,ST_SCHID,SCHNAM,ALL_COHORT_1718,ALL_RATE_1718,MAM_COHORT_1718,MAM_RATE_1718,MAS_COHORT_1718,MAS_RATE_1718,MBL_COHORT_1718,MBL_RATE_1718,MHI_COHORT_1718,MHI_RATE_1718,MTR_COHORT_1718,MTR_RATE_1718,MWH_COHORT_1718,MWH_RATE_1718,CWD_COHORT_1718,CWD_RATE_1718,ECD_COHORT_1718,ECD_RATE_1718,FCS_COHORT_1718,FCS_RATE_1718,HOM_COHORT_1718,HOM_RATE_1718,LEP_COHORT_1718,LEP_RATE_1718,DATE_CUR
TEXAS,48,4818070,TX-048901,EDEN CISD,4.81807E+11,TX-048901-048901001,EDEN CISD,18,GE80,,,,,,,11,GE50,,,7,GE50,3,PS,11,GE50,,,,,1,PS,23-Sep-19
TEXAS,48,4818120,TX-234903,EDGEWOOD ISD,4.81812E+11,TX-234903-234903001,EDGEWOOD H S,62,GE95,1,PS,,,4,PS,4,PS,2,PS,51,GE90,6,GE50,19,GE80,,,,,1,PS,23-Sep-19
TEXAS,48,4818150,TX-015905,EDGEWOOD ISD,4.81815E+11,TX-015905-015905002,JOHN F KENNEDY H S,273,89,,,1,PS,2,PS,266,85-89,2,PS,2,PS,37,80-89,237,85-89,2,PS,30,GE80,20,GE80,23-Sep-19
TEXAS,48,4818150,TX-015905,EDGEWOOD ISD,4.81815E+11,TX-015905-015905003,MEMORIAL H S,343,86,,,2,PS,8,GE50,330,85,1,PS,2,PS,36,60-69,286,80-84,1,PS,22,40-59,52,70-79,23-Sep-19
TEXAS,48,4818180,TX-108904,EDINBURG CISD,4.81818E+11,TX-108904-108904001,EDINBURG H S,596,85,,,,,,,592,85,,,4,PS,36,60-69,526,84,1,PS,7,GE50,82,65-69,23-Sep-19
TEXAS,48,4818180,TX-108904,EDINBURG CISD,4.81818E+11,TX-108904-108904040,JUVENILE DETENTION CTR,10,LT50,,,,,,,8,LT50,,,2,PS,,,9,LT50,,,,,1,PS,23-Sep-19
TEXAS,48,4818180,TX-108904,EDINBURG CISD,4.81818E+11,TX-108904-108904002,ECONOMEDES H S,631,86,,,1,PS,,,624,86,,,6,GE50,54,70-79,597,86,2,PS,4,PS,139,75-79,23-Sep-19
TEXAS,48,4818180,TX-108904,EDINBURG CISD,4.81818E+11,TX-108904-108904006,ROBERT R VELA H S,540,91,1,PS,7,GE50,2,PS,517,91,,,13,GE50,40,80-89,375,89,1,PS,2,PS,58,80-89,23-Sep-19
TEXAS,48,4818180,TX-108904,EDINBURG CISD,4.81818E+11,TX-108904-108904003,EDINBURG NORTH H S,684,90,,,1,PS,1,PS,657,90,1,PS,24,GE80,48,80-89,595,89,,,4,PS,102,75-79,23-Sep-19
TEXAS,48,4818210,TX-120901,EDNA ISD,4.81821E+11,TX-120901-120901001,EDNA H S,106,GE95,,,2,PS,12,GE50,38,GE90,,,54,GE90,8,GE50,50,GE90,,,7,GE50,7,GE50,23-Sep-19
